SN505,SN508,SN515,SN517,SN521,SN528,SN529,SN531,SN534,SN553,SN575,SN598,SN579,SN601,SN655,SN667,SN674,SN677,SN683,SN735,SN747,SN753,SN756,SN758,SN767,SN787,SN788,SN799,SN804,SN810,SN812,SN820,GeneID,Drug
-0.054865075,-0.13333945,0.032660285,-0.476885317,0.07134625,0.020547997,1.505436063,0.470410208,1.330578909,0.057814493,0,0.688811584,0,0,0,0.007262707,0.026383693,0.268718844,0,0,-0.026980389,0.30532345,0,0.38007422,0.190852957,0,-0.038499528,0,0.023507947,0.480195165,0.00524989,0.548174537,ENSG00000130702,OCRIPLASMIN
-0.449977977,0.809960358,0,0,0.016693734,0,0.84244056,0.483864374,0.071681518,0.407987007,0.012414404,0,0.313384862,3.01229913,0.139013806,0.089995595,0.581254326,0,-0.116037925,0.209214532,0.467306622,0,0.245007028,-0.629969168,0.707500851,0.104343197,0.809960358,0,0.429726967,1.26802888,0.301968898,0.096589027,ENSG00000174807,ONTUXIZUMAB
0.389493771,0.292967978,0.09433357,0,0,0,0,0,0.123792374,0,0,0.301095543,0.131153679,0.274180087,0,-0.150547772,0,0.334222003,0,-0.132464824,0,0.041739208,0,0.602191087,0,0,0,0,0.032918859,-0.026174189,0,0.749396559,ENSG00000095303,IBUPROFEN
0,0.727989841,0.147155412,0.259669885,0,0.306805205,-0.677783645,0.016226927,0.317249478,0.590496751,0.11522652,-0.451855763,-0.454465671,1.165433283,0.656497332,0,-0.795456387,0,0.084038137,0.592296387,-0.016872012,1.825374699,0.607444786,-0.552268155,-0.672642434,0.019322622,-0.041806876,0.310564591,2.141368147,-0.181475596,0.564046553,-0.09118613,ENSG00000073756,IBUPROFEN
0.035082928,0.232147928,0,0,0.101334728,0,0.331093413,-0.054157857,0.292874784,-0.005738897,-0.324790768,-0.399765795,0,0.103851056,0.536961139,-0.227820852,0.236323627,-0.125720313,0.077971316,0.064435622,0,0.416886199,0.3671203,0.988852187,0.925607785,0,0.47551195,-0.295237844,-0.264946176,-0.072622617,0,0.242466834,ENSG00000146648,FALNIDAMOL
0.260286158,0.158661062,0.06979752,0,0,0.148829662,0,-0.028194287,-0.01676512,0.10737415,-0.065528648,-0.120642695,0.009332137,0.061332468,0.098556595,-0.144916853,0,0.011106441,0.090250677,0.026780858,0.06360641,0.076653391,0.060826633,0.48257078,0.148521287,0,-0.282667203,0.117501251,0,0.197806199,-0.00544079,0.158281897,ENSG00000169083,GALETERONE
0,0,0.215503772,0.604683095,0,-0.265471143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562682254,-0.128231229,0,0.347757075,0,0,0,0,0,0,-0.025114575,ENSG00000137193,LGH-447
0,0,-0.220204921,0,0,0,0,0,0,-0.472684795,-0.038111996,0,-0.253585561,0,0,0,0.362995494,0,0,0,0,0,0,0,0,0,0,0,0.535654024,0,0,0,ENSG00000102096,LGH-447
0.703872707,0,0,0,0.351526255,-0.24488561,-0.055687205,0,0,0.225646544,0.178049265,0.290826267,0,-0.475321788,1.540756778,0,-0.19376519,-1.054572161,0.149775983,0,0,0,0,0,0,0,0,0.856134993,0.086094134,0.282540521,0,0.181311269,ENSG00000018625,DIGITOXIN
0.816333331,1.505966899,0,0,0.818153291,1.314368999,0,0.268642417,0,0.350362564,0,0,0.95547861,0,-0.247905567,0,0.992926802,1.316186443,-0.248407962,0,0,0,1.409247754,0,-1.488261141,0,0,0,0.646078328,0.770000835,0.536985073,1.241258673,ENSG00000105409,DIGITOXIN
-0.119294147,0.768184262,0.183363342,0.170329602,0.041011091,-0.303414501,0.159479266,0.011594041,0.01703313,0.580562975,0,-0.476188101,0.085581324,-0.002100534,0.241604465,0,0.016464456,0.064456524,0.075191601,0.233656449,0,0.467140995,0.018710669,1.630256095,0.179780598,-0.060722951,0.016411665,0,0.750669563,-0.075272065,0.012650935,1.165384998,ENSG00000163399,DIGITOXIN
0.260286158,0.158661062,0.06979752,0,0,0.148829662,0,-0.028194287,-0.01676512,0.10737415,-0.065528648,-0.120642695,0.009332137,0.061332468,0.098556595,-0.144916853,0,0.011106441,0.090250677,0.026780858,0.06360641,0.076653391,0.060826633,0.48257078,0.148521287,0,-0.282667203,0.117501251,0,0.197806199,-0.00544079,0.158281897,ENSG00000169083,GSK2849466
-0.324919362,0.151608237,0,0.023467711,0.086635708,0,3.119123782,0,0.042776862,0,0,0.337236208,0,0.112043508,0.102964861,0.369065868,0,0.780968236,0,0,-0.02175875,0,0,0.071065205,0,0,-0.316891483,0.789183623,0.191997511,-0.002272185,0,0,ENSG00000183044,VIGABATRIN
-0.120547215,0,-0.043674063,0,-0.026499502,0,0.347030715,0,0,0.342247583,0.947444749,0.038070893,0.318290079,-0.003189383,0.007784108,0.189107949,0,0.471251323,-0.145092102,-0.094830283,0,0,0.109779576,4.23444718,0,-0.035040227,0,0,0,0.003573183,0,-0.067145305,ENSG00000258947,FOSBRETABULIN
-0.300965615,0,0,0,0,0.164071773,0,0.011877732,0,0,0,0,0,0,0,0,0,-0.100323779,0,0,0,0.269768746,0,4.585211321,0,0,0,0,0.166103829,0,0,0,ENSG00000167553,FOSBRETABULIN
0,0,0.143036596,0,0,0,0.11721094,1.020861009,0,0.341480744,0,0,0,0.072238897,0,0,0.784682686,0,0,-0.144498008,0,0.341737898,0.012178874,0,1.653575065,0,0.021458222,0,0.742389494,0.315900695,0,0.053732705,ENSG00000176014,FOSBRETABULIN
-0.054362436,0,0,0.179869684,0,0,-0.230323637,-0.058226964,0,0,0.541080301,-0.139242942,0.603195718,0,0,0.147461126,0,0.10666051,0.121231194,0,0,-0.106953616,-0.046353912,1.699098007,0,0,0,0,0.272043294,0,-0.041309139,0,ENSG00000137267,FOSBRETABULIN
0,-0.395425643,0.923904407,0,0.395425643,0,0,0.10756678,0.790851285,0,0.395425643,0,0.871939985,0,-0.110581248,0,-0.07674546,0,0,0,-0.468971645,0.395425643,0,-0.790851285,0.790851285,0.35895172,0.790851285,0.790851285,0.052345637,0.395425643,-0.720864695,0.161196003,ENSG00000101162,FOSBRETABULIN
0.230594358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250567187,0,0.188034342,0,0,0,0,0,5.087848917,0,0,0,0,0.088277104,0,0,0,ENSG00000123416,FOSBRETABULIN
-0.343611784,0,-0.263291159,0,0,0,-0.077619212,0.096781507,0,0,0.059135862,-0.072923818,0,0,0,0.784419031,0.02103816,0.010664784,0,0,0,-0.021622665,0,3.443796827,0,0.235983626,0,0.135695989,0.005989085,0,0,0,ENSG00000167552,FOSBRETABULIN
0.175731701,0.071980305,0,0,0.097706718,-0.018630997,-0.21827855,-0.039655622,0.275277138,0,-0.079415629,-0.21827855,-0.184079417,0.083517775,0,-0.873114198,0.348726801,-0.654835649,0,0.098025526,0.317196537,0.057225643,0.060814646,0.873114198,0.206134509,0,0,0.318441534,0.206236442,0,0,0,ENSG00000127824,FOSBRETABULIN
0.157283981,0,0,0,0,0,3.465295418,0,0,0,0,0.083783952,0,0,0.866502355,0.021374852,0,0,0,0,0,0,0,3.465295418,0,0,0,0,0,0,0,0,ENSG00000128602,BMS-833923
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980801182,0,0,0,0,ENSG00000163288,PENTOBARBITAL
2.311430615,1.929282242,0,0,-0.370244191,0.805159029,0,0.19133863,0,0.723884791,0,0,-1.01897853,0,1.048188516,0,-1.048188516,-1.048188516,-0.242460237,0,0,0,0.705001913,0,0.556118693,0,0,0,1.200155988,-0.146211699,-0.300705308,0.173590646,ENSG00000166206,PENTOBARBITAL
0,3.124138951,0,0,0.450252076,0,0,0,0,0,0,0,0,0.478082649,0,0,0,-0.843435091,0,0,0,0,0,0,-0.515064677,0,0,0,0.716864201,0,0,0,ENSG00000178568,JNJ-26483327
0,0,0,0,0,1.047758105,2.728254973,0.539921343,0.195923845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.728254973,0,0,0,0,0,0,0,0,ENSG00000176105,JNJ-26483327
0.035082928,0.232147928,0,0,0.101334728,0,0.331093413,-0.054157857,0.292874784,-0.005738897,-0.324790768,-0.399765795,0,0.103851056,0.536961139,-0.227820852,0.236323627,-0.125720313,0.077971316,0.064435622,0,0.416886199,0.3671203,0.988852187,0.925607785,0,0.47551195,-0.295237844,-0.264946176,-0.072622617,0,0.242466834,ENSG00000146648,JNJ-26483327
-0.483533881,0.491735128,0.027155381,-0.242919696,0,0.011227597,-0.207228806,0.125723595,-0.1222482,0.450500557,0.023854854,0.299221776,0.603095221,-0.018629428,-0.778005862,0.576698322,0.12139552,-0.241766941,-0.263139621,-0.075524416,0.088805507,-0.185970706,-0.099055412,0.172690672,-0.476010932,0.103863252,0.573337499,0.337711318,0.658169209,0.197506868,0.446768759,0,ENSG00000254087,JNJ-26483327
0,0,0,0,0,0,0,0,0,0,0,0,1.08941187,0.701144595,0,0,0,0.506779413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000197122,JNJ-26483327
0.395710128,-0.110336508,0,0.171912661,0.275087191,0,-0.178967535,0.007493612,0.717098277,0.029656921,0,1.566135373,0,0,0,0.223102512,-0.018404569,0,-0.022295048,0,0.03440501,0.080607789,0,0.395710128,0.055880355,0,0,0,0.024812743,0.794795028,0.375955527,0.183685807,ENSG00000141736,JNJ-26483327
0.125903344,0.003661314,0,0.016963959,0.03293715,0,0.670626653,0,0.026076493,0,0,0.180655031,0,0.024275213,0.040507407,0.07879801,0,0.639222965,0,0,-0.014070046,0,0,4.420894985,0,0,0.465093071,0.175853503,0.066516486,0.085208249,0,0,ENSG00000010810,JNJ-26483327
0,-0.690054815,0.038169383,0.160369376,0,-0.052493245,-0.557260641,0.389405814,0.033123916,0.143122977,-0.00953048,1.38892871,3.891915045,0.005513812,0.497579706,0,0.320100811,0,0.11362866,0.476155773,0.033898987,-0.160024508,0.32554921,-0.309589245,0.340100405,0.167132183,0.33673908,0.495342792,2.601666268,-0.128990444,0.511311308,0.043921989,ENSG00000010610,IBALIZUMAB
0,0,-0.02151313,0,0,0,0,0.29174922,0.597512497,0,0.195620414,1.102789665,0,0,0,0.113021592,-0.377775235,0.013902433,-0.100429406,0.049003652,0,0,0,0,0,0,-0.05511403,0.068854501,0,0,0,0.006178182,ENSG00000077782,BRIVANIB
0,0.197069689,0.476865255,0,0.10703119,0.476865255,0,0.288259457,0.325064683,0.238432628,0.357648941,0,0,0,-0.027767837,0,0.202777377,0,0,0.476865255,0,0.156856173,0,-0.238432628,0.237065346,0,0.394066165,0,1.142081591,0,0,1.572706777,ENSG00000128052,BRIVANIB
1.431700517,0.042094076,0,0,0,0,0.003664842,0,0.089354789,0.260161998,0.04729771,-0.548110441,0,0.191494389,0.768215868,-0.100540004,0.157546811,1.008617412,-0.118956046,0,0.110446621,0.021230159,-0.031744374,0,0.517670919,0,0.520071556,0.611422264,0.548513954,0,-0.051221347,0,ENSG00000068078,BRIVANIB
0,0,0.317640558,0.551392475,0,0.055744975,0,0.240022423,0,0,0,0,0.330581636,0,0.567573839,0,0,0,0,0,0,0,0.152457349,0,0.158382216,0.391343202,0,0,0,0,0,0,ENSG00000160867,BRIVANIB
-0.876392523,0.5862587,0,0,0,-0.129839388,1.314588785,-0.056023349,0,0,0,0,0.989075617,0,0.086192773,0,0,-1.314588785,0,0,0,0,0,1.314588785,0.948745606,0,0,0,0,0,0,0.828636124,ENSG00000171105,INSULIN DETEMIR
0.429147217,0,0.90472834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.831581912,0,1.537801933,0,0,0,0,0,0,0.13217466,0,ENSG00000142166,INTERFERON ALFA-2B
0.075932373,0,0,0,-0.069081818,0,0,0,0,0.221293818,0,0.950122319,0,0,0,0,0,-0.177073425,-0.123550875,0,0,0,0,2.850366958,0,0,0.492277388,0,0,0.1989604,0,0,ENSG00000159110,INTERFERON ALFA-2B
