DRUG CANDIDATE,SN503,SN504,SN505,SN508,SN512*,SN515,SN517,SN520,SN521,SN528,SN529,SN531,SN533,SN534,SN535,SN553,SN575,SN579,SN598,SN601,SN649,SN655,SN667,SN674,SN677,SN678,SN683,SN704,SN711,SN720,SN735,SN747,SN753,SN756,SN758,SN767,SN787,SN788,SN799,SN804,SN810,SN812,SN820,SN835,SN836
Paclitaxel,0.000999281,0.001125321,0.001105456,0.000681309,0.000961958,0.000637791,0.000541532,0.00072563,0.000685499,0.000287086,0.001042833,0.000566188,0.000517699,0.000360495,0.000377815,0.000395693,0.000274972,0.000763841,0.000815921,0.000509417,0.000280143,0.000115395,0.00082,0.000880606,0.000756671,0.000800134,0.000105594,0.000319509,0.000352299,0.000263825,0.0004822,0.000634979,0.000818216,0.000504489,0.000875194,1.10E-05,0.000762048,0.000550176,0.000681406,0.000874385,0.000978646,0.000652408,0.000604094,0.000296775,0.000515527
Pindolol,0.001210882,0.00086004,0.001117151,0.001219938,0.0010969,0.0002966,0.000740405,0.000434569,0.000466279,0.000916984,0.001156135,0.001159673,0.001175706,0.001157164,0.000916431,0.000365905,0.000108974,0.000774485,0.001217285,0.001210534,0.000903976,0.000251662,0.000957811,0.000474642,0.000617054,0.000946305,0.000613859,0.000869886,0.001179087,0.00090961,0.000697857,0.00120526,0.00117541,0.001142277,0.001076691,0.000174681,0.000557086,0.001040538,0.001061595,0.001054609,0.000999999,0.000831209,0.00045932,0.00090962,0.000490918
Pitavastatin,0.00108669,0.000946851,0.000796304,0.001021997,0.000999907,0.000969432,0.001082177,0.000155447,0.000993236,0.00066569,0.000967656,0.000774326,0.000284882,0.000859327,0.000854086,2.43E-05,0.000368593,0.000786174,0.000352292,0.0006522,0.0008048,0.000441543,0.000765968,0.000859173,0.000350325,0.000976714,0.000315778,0.001071173,0.000665411,0.000665979,0.000743113,0.000824198,0.000856106,0.000790987,0.000731276,0.000228756,0.000737058,0.000594411,0.000658105,0.000724509,0.001148684,0.000726062,0.000938463,0.000691475,0.000699932
Rosuvastatin calcium,0.001212377,0.001219938,0.00107375,0.001082733,0.001046512,0.001034716,0.001219938,0.000693637,0.001103836,0.001027911,0.001196476,0.000987498,0.001186272,0.001083264,0.001148086,0.000330692,0.000916439,0.000930584,0.001022764,0.000912475,0.000964165,0.000928376,0.000919738,0.001046934,0.000789644,0.001080538,0.000978282,0.001205032,0.001020517,0.00082926,0.001041127,0.001068133,0.001167656,0.001053559,0.00082,0.000724813,0.001240936,0.000993684,0.000917244,0.00088105,0.001255996,0.001170824,0.001419999,0.00082,0.001064785
Sertraline,0.000785083,0.000690876,0.001185393,0.000674531,0.0005954,0.000293217,0.000764893,0.000450597,0.000371352,0.000603949,0.00104624,0.000507874,0.000662779,0.000574236,0.00036585,0.000411718,0.00015173,0.001006034,0.000383055,0.000560343,0.000695811,0.000175562,0.000834055,0.000373362,0.000599353,0.000791929,0.000653685,0.00040592,0.00066475,0.000829529,0.000264122,0.000913575,0.000638439,0.000606373,0.000746393,8.53E-05,0.000666831,0.000904735,0.000806937,0.000749205,0.000829614,0.001000974,0.000613241,0.000753131,0.000396219
Simvastatin,0.000985658,0.000949905,0.000999949,0.001034545,0.000968524,0.000906372,0.001092143,0.000667947,0.001008784,0.000749059,0.001082501,0.000742003,0.000688927,0.000864937,0.000886581,0.000224587,0.00081684,0.001039087,0.000412677,0.000641741,0.000840039,0.000579883,0.000674256,0.00077302,0.000533366,0.000776576,0.000610597,0.000997901,0.000751171,0.000716708,0.000769875,0.00087764,0.000841947,0.000834451,0.000775575,0.000456902,0.000754543,0.000684035,0.000807116,0.000660514,0.001036332,0.000808101,0.001001002,0.000810228,0.000713932
Sirolimus,0.000955529,0.001027278,0.001129951,0.001002788,0.000927044,0.000804618,0.00115644,0.000819958,0.000820789,0.000703883,0.001145054,0.000922348,0.001039772,0.00079502,0.000780468,0.000982918,0.000744051,0.00080454,0.001159967,0.000568201,0.000844037,0.000641543,0.000719801,0.000819999,0.000670507,0.001096288,0.000563545,0.00078837,0.000523772,0.000862499,0.000680416,0.000788236,0.000734678,0.000744052,0.000739636,0.00029056,0.00054702,0.00046905,0.000620659,0.000635882,0.000893005,0.000573357,0.001042895,0.000851902,0.000548179
Sodium tetradecyl sulfate,0.001021235,0.000945336,0.000967837,0.001083096,0.000982821,0.001065595,0.000984805,0.000912758,0.001051071,0.001090645,0.00094493,0.001114983,0.001048704,0.000930809,0.000959875,0.000969795,0.000851608,0.001063635,0.000983765,0.001090805,0.000980733,0.00082,0.001219999,0.001045401,0.001219999,0.001095395,0.001219999,0.00110204,0.001132207,0.000976065,0.000709136,0.000953208,0.000757822,0.00105607,0.001012847,0.000928244,0.001271936,0.00101306,0.001054215,0.001052797,0.001321765,0.001131981,0.000864318,0.000991986,0.001174624
Sorafenib,0.000857442,0.000652719,0.001019509,0.000871717,0.000926833,0.000537814,0.000999947,0.000670532,0.000678117,0.000611261,0.000815398,0.000563715,0.000584485,0.000592012,0.000594073,0.000514016,0.000585369,0.000570041,0.000664717,0.000667171,0.000831638,0.000616977,0.000656299,0.00070248,0.000491383,0.000841973,0.000545863,0.000888876,0.000605979,0.000819797,0.000781532,0.000820699,0.000810619,0.000815632,0.0009527,0.000491964,0.0007662,0.000555541,0.000850069,0.00091023,0.000880553,0.000677817,0.00088871,0.00080157,0.000606934
Sunitinib,0.001118461,0.000914129,0.001062733,0.000961053,0.000809793,0.001116592,0.001157765,0.000940861,0.001141683,0.000728826,0.001023848,0.000881167,0.000912988,0.000819958,0.000957962,0.001172826,0.000712989,0.001017235,0.000942464,0.001127878,0.000893937,0.00081554,0.001189854,0.001173326,0.001059753,0.000950954,0.001219999,0.001010277,0.001021231,0.000829827,0.00060892,0.000896064,0.000683468,0.000998645,0.000894498,0.000960962,0.000902565,0.001021002,0.001025234,0.000958099,0.000952201,0.000755777,0.000720207,0.000873949,0.001180719
Temozolomide,0.001219938,0.001041944,0.001049257,0.000982075,0.000965899,0.000818305,0.000970965,0.000904181,0.000934935,0.000683988,0.000819958,0.001074937,0.000950756,0.000961367,0.000748659,0.001096643,0.000414823,0.001036693,0.001062027,0.000822432,0.000893648,0.000337765,0.001155861,0.001065974,0.001219999,0.000950034,0.000868891,0.000764371,0.001021387,0.000989396,0.0005705,0.001152788,0.000936995,0.001127543,0.00107808,0.000866765,0.001060156,0.000896034,0.000895413,0.00082,0.001104071,0.000937313,0.001035079,0.000815717,0.000866376
Teniposide,0.001049253,0.000966722,0.001047897,0.000533525,0.000600891,0.000527656,0.000578748,0.000510876,0.000300421,0.000574181,0.000937938,0.000566056,0.000297135,0.000441726,0.000403692,0.000373108,0.000232989,0.000758492,0.00087244,0.000732179,0.000271714,0.000250813,0.001219979,0.000710452,0.000231684,0.000617283,0.000468311,0.000816642,0.000722552,0.000708732,0.000378609,0.000725674,0.000727353,0.000692582,0.000763273,0.000158398,0.000826417,0.000463501,0.00048278,0.00082,0.00098779,0.000549632,0.001001195,0.000424694,0.000705435
Topotecan HCI,0.000532467,0.000704979,0.000919154,0.000547075,0.000779546,0.000236741,0.000808563,0.000404536,0.0002924,0.000317316,0.00044172,0.000505856,0.000152208,0.000783639,0.000439435,7.90E-05,8.99E-05,0.000666959,0.000723753,0.000637401,0.000378607,0.000130946,0.000830869,0.000548531,0.000301044,0.000404731,0.000179612,0.000454433,0.000384782,0.000755875,0.000260162,0.000506889,0.000437477,0.00043316,0.0005398,9.23E-05,0.0007976,0.000362257,0.000281579,0.000792058,0.000777429,0.000449508,0.001094176,0.000346591,0.000520531
Trifluoperazine HCI,0.000682478,0.000852158,0.001062886,0.00067984,0.000784031,0.000829604,0.000895879,0.000638934,0.000982289,0.000936843,0.000821918,0.000515348,0.000458195,0.000797789,0.000595055,0.000966392,0.000736206,0.000979418,0.000477635,0.000658492,0.000699521,0.000640672,0.000667543,0.000859481,0.000771436,0.000921157,0.000797667,0.000595801,0.000706337,0.000780598,0.000502545,0.000811329,0.000461456,0.000785005,0.00063092,0.000420277,0.000878017,0.000588614,0.000817003,0.000771766,0.001069148,0.000834307,0.00137075,0.000827173,0.000763223
Valganciclovir,0.000600229,0.000798756,0.000908044,0.000968106,0.000881463,0.000404655,0.000622308,0.000377477,0.000293452,0.000249169,0.000918782,0.000688587,0.000657944,0.000751258,0.000492652,0.000316545,0.000154077,0.000930298,0.001214412,0.001120794,0.00063102,0.000527962,0.001022482,0.000437495,0.000795104,0.000829669,0.000761043,0.000430346,0.000421393,0.000900608,0.000315722,0.001037042,0.000693642,0.000827167,0.001112673,6.00E-05,0.000716575,0.000999999,0.000906481,0.001044368,0.001060325,0.000754945,0.000924671,0.000762067,0.000698088
Valproic acid,0.001049247,0.000969771,0.000988968,0.001194067,0.0009665,0.000908854,0.00099249,0.000902185,0.001004216,0.000819347,0.001027922,0.000811889,0.000964129,0.000955211,0.000864328,0.000995145,0.00085206,0.000922942,0.00102898,0.001049892,0.000901826,0.000786608,0.000843088,0.000528223,0.000952705,0.000965338,0.000666143,0.000710795,0.000809834,0.000932204,0.000611107,0.000899054,0.00085567,0.000918602,0.000880682,0.000880698,0.000819999,0.000819888,0.000918701,0.000851726,0.00082,0.000873814,0.000791898,0.000922512,0.001149239
