Regulon_ID,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
799,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126561,R-799,1,2.360130155,0.373704675,1.32E-19,2.873513185,2.315151419,1
3075,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000100968,R-3075,1,1.759713993,0.304118607,3.44E-13,2.599773676,1.976018124,1
3078,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000100968,R-3078,1,1.759713993,0.349924168,3.14E-17,2.09244707,1.413203532,1
3071,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000100968,R-3071,1,1.759713993,0.296902537,1.29E-12,2.659735568,2.052641038,1
3077,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000100968,R-3077,1,1.759713993,0.273520824,7.37E-11,3.308081431,2.893904941,1
3392,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,R-3392,-1,1.733011778,-0.399636294,1.98E-22,2.043545493,1.361514531,1
3398,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000120149,R-3398,-1,1.733011778,0.190051625,7.47E-06,-1.986189874,1.306008324,1
3381,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000137273,R-3381,1,1.459750046,0.238632047,1.56E-08,2.673167798,2.06496752,1
3380,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000137273,R-3380,1,1.459750046,0.193893729,4.83E-06,2.266499524,1.595567544,1
3585,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000123268,R-3585,1,1.591701143,0.624735295,1.19E-60,2.457852087,1.807789083,1
