,Regulon_ID,PCA_1Var,PCA_1VarNonRegulonGeneSet,PCA_1RandomVarAvg,NumGoodCalls,PCA_1RandomPVal,Diff_PCA_1VarRegulonVsNonRegulon,Diff_PCA_1VarRegulonVsAvgRand,PCA_1VarNonMemberGeneSet,PCA_1RandomVarAvgNonMember,NumGoodCallsNonMember,PCA_1RandomPValNonMember,Diff_PCA_1VarRegulonVsNonMember,Diff_PCA_1VarRegulonVsAvgRandNonMember
42,42,0.547118608,0.138883041,0.192318247,0,0.001996008,0.408235567,0.354800361,0.20395631,0.416519148,0,0.001996008,0.343162299,0.13059946
43,43,0.464957386,0.125992794,0.184250413,0,0.001996008,0.338964593,0.280706973,0.198378524,0.315552792,0,0.001996008,0.266578862,0.149404594
44,44,0.491897772,0.133129226,0.195345252,0,0.001996008,0.358768546,0.29655252,0.182608361,0.348861299,0,0.001996008,0.309289411,0.143036473
45,45,0.601664859,0.133717189,0.20089951,0,0.001996008,0.46794767,0.400765349,0.238270113,0.448177185,0,0.001996008,0.363394746,0.153487674
46,46,0.53946364,0.147761324,0.211200619,0,0.001996008,0.391702315,0.328263021,0.24952419,0.431577731,0,0.001996008,0.289939449,0.107885908
47,47,0.587969663,0.13311421,0.212418859,0,0.001996008,0.454855454,0.375550804,0.221573605,0.434238362,0,0.001996008,0.366396058,0.153731302
48,48,0.564902023,0.173224454,0.239251533,0,0.001996008,0.391677569,0.32565049,0.251931941,0.327493206,0,0.001996008,0.312970082,0.237408817
49,49,0.695419273,0.145922197,0.220102227,0,0.001996008,0.549497075,0.475317046,0.263483413,0.556467456,0,0.001996008,0.43193586,0.138951817
50,50,0.615968087,0.189631689,0.268482953,0,0.001996008,0.426336397,0.347485134,0.274138148,0.411787963,0,0.001996008,0.341829938,0.204180124
51,51,0.698841161,0.179330561,0.274501173,0,0.001996008,0.5195106,0.424339988,0.31465486,0.459958485,0,0.001996008,0.384186302,0.238882677
52,52,0.779721893,0.232588468,0.315416054,0,0.001996008,0.547133425,0.46430584,0.312013756,0.545444381,0,0.001996008,0.467708137,0.234277512
53,53,0.541159504,0.158770702,0.267760919,0,0.001996008,0.382388801,0.273398584,0.244601288,0.316760914,0,0.001996008,0.296558215,0.22439859
54,54,0.585551354,0.124253072,0.24790929,0,0.001996008,0.461298281,0.337642064,0.283838468,0.380769506,0,0.001996008,0.301712886,0.204781848
55,55,0.735906734,0.209062332,0.301732186,0,0.001996008,0.526844403,0.434174548,0.349347171,0.536816723,0,0.001996008,0.386559563,0.199090011
56,56,0.635372253,0.191920522,0.28329275,0,0.001996008,0.443451731,0.352079503,0.266776052,0.40813887,0,0.001996008,0.368596201,0.227233383
57,57,0.556525491,0.168991136,0.280995193,0,0.001996008,0.387534355,0.275530298,0.233655818,0.357744652,0,0.001996008,0.322869673,0.198780839
58,58,0.614000478,0.268993595,0.380705976,0,0.001996008,0.345006884,0.233294503,0.200882244,0.295791955,0,0.001996008,0.413118234,0.318208524
59,59,0.531146482,0.131659363,0.14684798,0,0.001996008,0.399487119,0.384298503,0.205823071,0.48029217,0,0.001996008,0.325323412,0.050854313
60,60,0.608450408,0.144753812,0.247661182,0,0.001996008,0.463696596,0.360789226,0.240412768,0.390435202,0,0.001996008,0.36803764,0.218015207
61,61,0.617556678,0.165904323,0.252603095,0,0.001996008,0.451652355,0.364953583,0.235715575,0.39530861,0,0.001996008,0.381841103,0.222248068
62,62,0.602998197,0.190903396,0.300006646,0,0.001996008,0.412094801,0.30299155,0.249165772,0.324300761,0,0.001996008,0.353832425,0.278697436
63,63,0.749933056,0.146533022,0.291206989,0,0.001996008,0.603400034,0.458726067,0.383844981,0.614109631,0,0.001996008,0.366088075,0.135823424
