Regulon_ID,Regulator,Gene,Entrez_gene,IfCoexpDiseaseRelevantMutSig,GeneSymbol
24,ENSG00000196712,ENSG00000154734,9510,yes,ADAMTS1
24,ENSG00000196712,ENSG00000099250,8829,yes,NRP1
24,ENSG00000196712,ENSG00000187554,7100,yes,TLR5
24,ENSG00000196712,ENSG00000174125,7096,yes,TLR1
24,ENSG00000196712,ENSG00000057252,6646,yes,SOAT1
24,ENSG00000196712,ENSG00000160691,6464,yes,SHC1
24,ENSG00000196712,ENSG00000110876,6404,yes,SELPLG
24,ENSG00000196712,ENSG00000107562,6387,yes,CXCL12
24,ENSG00000196712,ENSG00000148908,6001,yes,RGS10
24,ENSG00000196712,ENSG00000128340,5880,yes,RAC2
24,ENSG00000196712,ENSG00000262418,5788,yes,PTPRC
