,Regulon_ID,PCA_1VarRembrandt,PCA_1RandomPValRembrandt,PCA_1RandomPValNonMemberRembrandt,PCA_1VarFrench,PCA_1RandomPValFrench,PCA_1RandomPValNonMemberFrench,PCA_1VarIvyAtlas,PCA_1RandomPValIvyAtlas,PCA_1RandomPValNonMemberIvyAtlas,PCA_1VarGSE7696,PCA_1RandomPValGSE7696,PCA_1RandomPValNonMemberGSE7696,PCA_1Var,PCA_1RandomPVal,PCA_1RandomPValNonMember,Mutation,Regulator,RegMutation_Pval_allPatients,EigenGenePValAllPatients,EigenGene_tstat_allPatients,MutationRegulatorEdge,Fraction_of_edges_correctly_aligned,HRFrench,Cox-p-valueFrench,HRGSE7696,Cox-p-valueGSE7696,HRRembrandt,Cox-p-valueRembrandt,HR,p-value,SpearmanCorrelationEigenGene,SpearmanCorrelationPValEigenGene
30,24,0.562573806,0.001996008,0.001996008,0.614278297,0.001996008,0.001996008,0.527176048,0.001996008,0.001996008,0.518055934,0.001996008,0.001996008,0.567204047,0.001996008,0.001996008,IDH1_code_potential_somatic,ENSG00000196712,0.000366084,0.032739469,-2.353939544,1,0.714285714,5.030473125,4.89e-07,,,4.30273603,1.69e-05,2.422210157,0.015426426,-0.338499429,4.28e-13
31,24,0.562573806,0.001996008,0.001996008,0.614278297,0.001996008,0.001996008,0.527176048,0.001996008,0.001996008,0.518055934,0.001996008,0.001996008,0.567204047,0.001996008,0.001996008,ADAMTS8_code_potential_somatic,ENSG00000196712,0.036957796,0.015029604,-6.009088495,1,1.0,5.030473125,4.89e-07,,,4.30273603,1.69e-05,2.422210157,0.015426426,-0.338499429,4.28e-13
32,24,0.562573806,0.001996008,0.001996008,0.614278297,0.001996008,0.001996008,0.527176048,0.001996008,0.001996008,0.518055934,0.001996008,0.001996008,0.567204047,0.001996008,0.001996008,GAS2L2_code_potential_somatic,ENSG00000196712,4.84e-05,0.001876506,-8.423299234,1,1.0,5.030473125,4.89e-07,,,4.30273603,1.69e-05,2.422210157,0.015426426,-0.338499429,4.28e-13
33,24,0.562573806,0.001996008,0.001996008,0.614278297,0.001996008,0.001996008,0.527176048,0.001996008,0.001996008,0.518055934,0.001996008,0.001996008,0.567204047,0.001996008,0.001996008,IQSEC3_code_potential_somatic,ENSG00000196712,0.001748357,0.03908922,-4.504918359,1,1.0,5.030473125,4.89e-07,,,4.30273603,1.69e-05,2.422210157,0.015426426,-0.338499429,4.28e-13
34,24,0.562573806,0.001996008,0.001996008,0.614278297,0.001996008,0.001996008,0.527176048,0.001996008,0.001996008,0.518055934,0.001996008,0.001996008,0.567204047,0.001996008,0.001996008,KRTAP20-2_code_potential_somatic,ENSG00000196712,0.049709852,3.17e-06,5.872255154,-1,1.0,5.030473125,4.89e-07,,,4.30273603,1.69e-05,2.422210157,0.015426426,-0.338499429,4.28e-13
35,24,0.562573806,0.001996008,0.001996008,0.614278297,0.001996008,0.001996008,0.527176048,0.001996008,0.001996008,0.518055934,0.001996008,0.001996008,0.567204047,0.001996008,0.001996008,LRFN2_code_potential_somatic,ENSG00000196712,0.0042584,0.017886716,-6.234112548,1,1.0,5.030473125,4.89e-07,,,4.30273603,1.69e-05,2.422210157,0.015426426,-0.338499429,4.28e-13
36,24,0.562573806,0.001996008,0.001996008,0.614278297,0.001996008,0.001996008,0.527176048,0.001996008,0.001996008,0.518055934,0.001996008,0.001996008,0.567204047,0.001996008,0.001996008,TP53_code_potential_somatic,ENSG00000196712,0.001269248,0.0208882,-2.338541186,1,0.666666667,5.030473125,4.89e-07,,,4.30273603,1.69e-05,2.422210157,0.015426426,-0.338499429,4.28e-13
37,26,0.651859245,0.001996008,0.001996008,0.73931079,0.001996008,0.001996008,0.552120217,0.001996008,0.001996008,0.664639002,0.001996008,0.011976048,0.593153263,0.001996008,0.001996008,IDH1_code_potential_somatic,ENSG00000196712,0.000366084,3.27e-05,5.914257643,1,0.714285714,-8.737049854,2.39e-18,,,-6.945293066,3.78e-12,-3.622990313,0.000291217,0.492291678,2.34e-09
38,26,0.651859245,0.001996008,0.001996008,0.73931079,0.001996008,0.001996008,0.552120217,0.001996008,0.001996008,0.664639002,0.001996008,0.011976048,0.593153263,0.001996008,0.001996008,IL18RAP_code_potential_somatic,ENSG00000196712,0.032340947,0.01390158,3.273704481,1,1.0,-8.737049854,2.39e-18,,,-6.945293066,3.78e-12,-3.622990313,0.000291217,0.492291678,2.34e-09
39,26,0.651859245,0.001996008,0.001996008,0.73931079,0.001996008,0.001996008,0.552120217,0.001996008,0.001996008,0.664639002,0.001996008,0.011976048,0.593153263,0.001996008,0.001996008,TP53_code_potential_somatic,ENSG00000196712,0.001269248,0.032270427,2.168225203,1,0.666666667,-8.737049854,2.39e-18,,,-6.945293066,3.78e-12,-3.622990313,0.000291217,0.492291678,2.34e-09
